Date,number,day,visitors,vleague,visgame,home,hleague,homegame,visscore,homescore,lengthouts,nightday,latercomp,forfeit,protest,park,attendance,timemin,visline,homeline,visab,vish,visdoub,vistrip,vishr,visrbi,vissh,vissf,vishbp,visbb,visibb,visk,vissb,viscs,visgdb,visci,vislob,vispitchused,visier,vister,viswp,visbalks,visputout,visassist,viserror,vispb,visdp,vistp,homeab,homeh,homedoub,hometrip,homehr,homerbi,homesh,homesf,homehbp,homebb,homeibb,homek,homesb,homecs,homegdb,homeci,homelob,homepitchused,homeier,hometer,homewp,homebalks,homeputout,homeassist,homeerror,homepb,homedp,hometp
20030402,0,Wed,LAN,NL,3,ARI,NL,3,5,0,54,N,,,,PHO01,30374,153,101110001,0,38,12,3,1,2,5,0,0,0,3,0,6,3,0,1,0,9,4,0,0,0,0,27,15,1,0,2,0,28,3,1,0,0,0,0,0,0,2,0,7,0,1,1,0,3,4,5,5,0,1,27,12,0,0,1,0
20030402,0,Wed,PHI,NL,2,FLO,NL,2,8,2,54,N,,,,MIA01,10534,173,23030,110,36,12,4,1,0,7,0,0,0,7,0,7,0,1,2,0,8,5,2,2,0,0,27,12,0,1,2,0,29,5,1,1,0,1,0,0,0,5,0,4,0,1,1,0,5,4,7,7,0,0,27,10,0,2,2,0
20030402,0,Wed,PIT,NL,2,CIN,NL,2,7,4,54,N,,,,CIN09,22878,155,300000040,201001000,38,10,0,0,3,7,0,0,0,4,1,3,0,0,0,0,8,5,4,4,0,0,27,13,1,0,1,0,35,9,3,0,2,4,0,0,0,3,1,6,0,0,1,0,7,5,5,5,0,0,27,6,2,0,0,0
20030402,0,Wed,MON,NL,2,ATL,NL,2,3,0,54,N,,,,ATL02,19116,150,200000001,0,34,9,1,0,1,3,1,0,0,3,0,8,2,0,1,0,8,4,0,0,0,0,27,18,2,0,0,0,31,3,1,0,0,0,0,0,0,3,0,5,0,0,0,0,7,4,3,3,0,0,27,12,1,0,1,0
20030402,0,Wed,MIL,NL,2,SLN,NL,2,0,7,51,N,,,,STL09,26790,162,0,10033000x,33,5,1,1,0,0,0,0,0,3,0,7,0,0,0,0,9,3,7,7,0,0,24,10,0,0,1,0,35,13,5,0,0,6,1,0,1,2,0,7,0,0,1,0,8,5,0,0,0,0,27,7,1,0,0,0
20030402,0,Wed,CHN,NL,2,NYN,NL,2,1,4,51,N,,,,NYC17,20594,164,100000000,31000000x,30,6,2,0,0,1,0,0,0,3,0,7,0,0,3,0,5,4,3,3,3,0,24,9,1,0,0,0,32,6,1,0,2,3,0,0,0,3,1,11,0,0,0,0,7,4,1,1,0,0,27,12,0,0,3,0
20030402,0,Wed,SFN,NL,3,SDN,NL,3,5,3,54,N,,,,SAN01,15899,179,5000000,1200000,29,5,2,0,0,5,0,0,0,8,0,7,1,0,3,0,5,5,2,2,2,0,27,12,1,0,1,0,31,6,0,0,1,2,1,1,0,9,0,7,0,0,1,0,12,5,5,5,2,0,27,9,1,0,3,0
20030402,0,Wed,COL,NL,2,HOU,NL,2,7,8,52,N,,,,HOU03,21082,208,30310000,20100005,38,13,2,0,0,5,1,0,0,6,0,6,1,0,0,0,11,5,7,7,2,0,25,7,1,0,1,0,39,15,3,0,0,7,0,0,1,6,1,6,1,0,1,0,13,5,6,6,0,0,27,10,1,0,0,0
20030403,0,Thu,SEA,AL,3,OAK,AL,3,7,6,66,D,,,,OAK01,6295,222,20020000012,10020000111,42,12,6,0,1,7,1,1,0,5,0,4,1,0,1,0,9,5,5,5,1,0,33,8,2,0,1,0,41,10,2,0,1,6,2,1,0,7,2,8,0,0,1,0,12,4,7,7,0,0,33,17,0,0,1,0
20030403,0,Thu,BOS,AL,4,TBA,AL,4,14,5,54,D,,,,STP01,12110,174,5213012,1201010,41,16,6,0,2,13,0,2,1,4,1,7,0,0,1,0,7,3,5,5,1,0,27,8,0,0,1,0,36,11,0,1,1,5,0,1,0,5,0,9,0,1,0,0,10,5,14,14,2,0,27,10,1,0,1,0
20030403,0,Thu,MIN,AL,3,DET,AL,3,3,0,54,D,,,,DET05,8862,120,100100010,0,33,6,2,2,0,3,0,0,0,4,0,2,1,0,0,0,7,2,0,0,0,0,27,2,0,0,0,0,30,3,1,0,0,0,0,0,0,0,0,6,1,0,0,0,3,3,3,3,1,0,27,13,0,0,0,0
20030403,0,Thu,CHA,AL,3,KCA,AL,3,6,12,51,D,,,,KAN06,9524,203,110020200,31010007x,32,8,2,1,2,6,0,2,1,4,0,6,0,0,1,0,6,7,10,10,2,0,24,8,4,0,1,0,40,16,3,0,2,11,0,0,2,7,0,6,0,1,1,0,13,3,6,6,1,0,27,13,0,0,1,0
20030403,0,Thu,CLE,AL,3,BAL,AL,3,3,0,54,N,,,,BAL12,18470,134,3000,0,30,4,0,1,1,3,0,0,1,3,0,7,0,0,0,0,4,2,0,0,0,0,27,11,1,0,2,0,30,4,1,0,0,0,0,0,0,1,0,4,0,0,2,0,4,3,3,3,0,0,27,10,0,0,0,0
20030403,0,Thu,PHI,NL,3,FLO,NL,3,3,8,51,D,,,,MIA01,14585,156,1100001,03000050x,36,9,2,1,1,2,0,0,0,1,0,12,0,0,0,0,7,2,8,8,0,0,24,11,0,0,0,0,34,11,1,1,3,8,1,0,2,1,0,5,3,0,0,0,6,4,2,2,1,0,27,8,1,0,0,0
20030403,0,Thu,PIT,NL,3,CIN,NL,3,7,5,54,D,,,,CIN09,26096,169,14020000,102000200,38,12,3,1,2,7,0,1,0,2,0,7,0,0,0,0,7,5,4,4,1,0,27,8,1,0,1,0,32,6,1,0,2,4,0,0,1,3,0,6,0,0,1,0,4,6,7,7,0,0,27,10,2,0,0,0
20030403,0,Thu,MON,NL,3,ATL,NL,3,4,0,54,N,,,,ATL02,19505,166,120010000,0,33,6,0,0,1,4,0,0,0,4,1,2,1,0,0,0,6,4,0,0,0,1,27,11,1,0,0,0,36,9,0,0,0,0,0,0,0,2,0,7,0,0,0,0,11,3,3,3,1,0,27,11,1,0,1,0
20030403,0,Thu,MIL,NL,3,SLN,NL,3,4,6,51,D,,,,STL09,26952,171,103,00002310x,34,8,0,0,2,4,1,0,0,3,0,3,0,0,1,0,7,4,6,6,0,0,24,6,1,0,0,0,38,13,2,0,2,6,0,0,1,3,1,8,1,0,0,0,12,5,4,4,1,0,27,10,1,0,1,0
20030403,0,Thu,CHN,NL,3,NYN,NL,3,6,3,54,D,,,,NYC17,17244,173,203000010,10000002,31,9,2,0,0,6,0,0,0,4,1,7,0,0,0,0,2,4,3,3,0,0,27,7,1,0,1,0,33,7,1,0,0,3,0,0,0,3,0,9,0,0,0,0,6,4,6,6,2,0,27,11,0,0,2,0
20030403,0,Thu,LAN,NL,4,SDN,NL,4,1,6,51,D,,,,SAN01,19863,188,10000000,00050100x,31,2,0,0,1,1,0,0,0,7,0,16,0,0,1,0,10,4,6,6,0,0,24,13,1,0,2,0,35,12,2,1,0,6,0,0,0,4,0,3,1,0,2,0,9,3,1,1,0,0,27,4,4,0,1,0
20030403,0,Thu,COL,NL,3,HOU,NL,3,10,5,54,D,,,,HOU03,21171,164,10072000,11000201,39,14,4,1,2,10,2,1,0,1,1,7,1,0,0,0,6,4,4,4,0,0,27,14,1,0,2,0,34,9,2,0,1,4,0,1,1,3,0,2,1,0,2,0,7,3,10,10,0,0,27,10,0,0,0,0
20030404,0,Fri,ANA,AL,4,OAK,AL,4,3,7,51,N,,,,OAK01,18138,185,100020,30112000x,30,4,2,0,1,3,0,0,0,5,0,3,1,0,1,0,5,3,7,7,0,0,24,5,1,0,0,0,35,10,4,0,1,7,0,0,0,4,1,8,3,0,0,0,8,3,3,3,0,0,27,11,0,0,1,0
20030404,0,Fri,NYA,AL,4,TBA,AL,5,12,2,54,N,,,,STP01,15169,183,200104005,100000001,45,18,4,0,5,11,0,1,0,4,0,6,0,0,0,0,11,2,2,2,0,0,27,9,1,0,0,0,36,9,1,0,0,2,0,0,1,0,0,5,0,1,0,0,8,4,12,12,1,0,27,6,2,0,0,0
20030404,0,Fri,TOR,AL,4,MIN,AL,4,7,2,54,N,,,,MIN03,48617,149,10102300,10100,35,8,1,0,4,7,0,0,0,3,0,7,0,1,0,0,4,3,1,1,0,0,27,16,2,0,0,0,32,5,1,0,1,1,1,0,0,2,0,1,1,0,0,0,6,4,7,7,0,0,27,11,1,0,0,0
20030404,0,Fri,CLE,AL,4,KCA,AL,4,1,5,51,N,,,,KAN06,15241,143,10000,04100000x,33,6,1,0,0,1,0,0,0,1,0,7,1,0,0,0,6,3,5,5,3,0,24,13,1,1,0,0,30,8,0,0,0,5,1,0,1,5,1,3,1,1,0,0,8,3,1,1,0,1,27,13,0,0,0,0
20030404,0,Fri,SEA,AL,4,TEX,AL,4,6,4,54,D,,,,ARL02,49231,179,100200210,20020000,36,9,3,0,1,6,0,0,1,4,1,7,0,0,0,0,8,4,4,4,1,0,27,7,0,0,1,0,33,7,2,0,2,4,0,0,0,3,0,8,0,1,1,0,5,5,5,5,0,0,27,11,1,0,0,0
20030404,0,Fri,BOS,AL,5,BAL,AL,4,8,7,54,N,,,,BAL12,27256,181,5003000,10000204,37,11,1,0,2,8,0,0,0,6,1,5,0,0,0,0,8,4,7,7,0,0,27,12,0,0,1,0,40,16,4,0,0,7,0,1,0,4,0,6,1,0,1,0,11,4,8,8,1,0,27,9,1,0,2,0
20030404,0,Fri,DET,AL,4,CHA,AL,4,2,5,51,D,,,,CHI12,40395,146,20000,13000100x,28,3,1,0,1,2,0,0,0,4,0,9,0,1,1,0,3,2,5,5,0,0,24,6,0,1,0,0,34,10,3,1,1,5,0,0,1,0,0,2,0,0,0,0,6,4,2,2,1,0,27,9,0,0,1,0
20030404,0,Fri,SFN,NL,4,MIL,NL,4,7,5,54,D,,,,MIL06,42570,195,102010030,10103000,38,12,0,0,2,7,0,1,2,6,1,9,3,0,1,0,13,5,5,5,0,0,27,6,1,0,1,0,34,10,1,0,4,5,1,0,0,1,0,6,0,1,1,0,4,5,7,7,2,0,27,6,0,0,1,0
